2012 PB20,2066-2112,3,7.3e-07,4.03,24.9,0.035,-6.54,-6.87,0
2008 BC15,2072-2094,2,1.4e-06,20.64,26.6,0.016,-6.55,-6.71,0
1997 UA11,2073-2073,1,3.9e-07,11.96,25.1,0.032,-6.56,0
2011 AZ36,2023-2110,164,4.4e-07,7.93,25.1,0.032,-6.56,-7.85,0
2003 UQ25,2093-2093,1,1.2e-07,18.01,24.2,0.049,-6.58,0
2007 CS5,2094-2110,4,4.7e-07,5.00,24.5,0.042,-6.58,-6.98,0
2012 CU,2040-2100,5,1.3e-06,10.93,26.0,0.021,-6.59,-6.85,0
2006 WP1,2015-2017,2,5.0e-07,18.03,28.2,0.008,-6.60,0
2008 VM,2025-2031,3,3.4e-05,10.26,30.2,0.003,-6.61,0
2004 XB45,2035-2035,1,3.3e-07,17.02,26.3,0.019,-6.62,0
2009 WQ25,2094-2094,1,8.6e-08,16.94,23.9,0.055,-6.63,0
2008 LD,2054-2111,49,4.3e-05,4.13,28.9,0.006,-6.65,-7.39,0
2008 SH148,2014-2110,102,7.1e-07,9.96,26.1,0.020,-6.68,-7.34,0
2008 UY91,2014-2107,37,2.4e-08,16.20,24.6,0.041,-6.69,-7.03,0
1997 TC25,2096-2096,1,2.9e-07,9.89,24.7,0.039,-6.69,0
2009 WW7,2059-2108,15,3.0e-05,8.19,28.9,0.006,-6.70,-6.90,0
2006 BM8,2102-2110,6,4.7e-07,14.83,25.4,0.028,-6.70,-7.13,0
2010 FD,2085-2104,2,1.1e-06,9.80,26.0,0.021,-6.70,-6.74,0
2011 UC64,2093-2110,15,7.4e-06,14.06,27.9,0.009,-6.71,-7.01,0
2006 SF281,2017-2110,284,8.7e-07,4.52,26.2,0.020,-6.71,-7.87,0
2010 UR7,2079-2086,3,3.4e-06,13.32,27.4,0.011,-6.72,-7.05,0
2010 XQ,2031-2111,49,2.3e-07,9.77,25.2,0.031,-6.73,-7.57,0
2006 UU17,2103-2107,4,1.8e-06,9.80,26.4,0.018,-6.74,-7.03,0
2010 FN,2082-2090,6,2.2e-06,6.81,26.6,0.016,-6.75,-7.14,0
