2004PU42,19.0*,2081-08-16 23:28,1/44444,-5.74,0,15.07,3112
2012BY1,29.0*,2043-01-25 16:44,1/606060,-5.76,0,21.39,397
1996TC1,69.0*,2067-09-26 05:04,1/2.91E6,-5.76,0,26.49,5976
2011TO,23.0*,2064-09-27 09:23,1/112107,-5.78,0,14.07,505
2011BG10,23.0*,2051-01-24 09:50,1/191570,-5.8,0,16.63,672
2011AM37,5.0*,2048-01-11 10:06,1/2832,-5.8,0,11.76,672
2011MX,18.0*,2085-06-19 07:34,1/58823,-5.83,0,16.58,605
2011CU46,35.0*,2080-08-11 23:14,1/413223,-5.83,0,19.84,672
2010VW194,21.0*,2079-11-12 20:07,1/70921,-5.83,0,13.34,826
2008YO2,38.0*,2079-12-24 18:27,1/518134,-5.83,0,19.87,1520
2010JL88,19.0*,2082-05-18 21:22,1/88495,-5.87,0,18.61,1010
2009CZ1,53.0*,2058-02-19 00:59,1/2.31E6,-5.9,0,20.97,1476
2007YM,26.0*,2014-11-29 09:12,1/1.09E6,-5.91,0,13.89,1891
2002RB182,110.0*,2088-10-08 01:41,1/5.85E6,-5.92,0,17.13,3810
2002UV36,21.0*,2087-10-26 07:48,1/71942,-5.94,0,13.79,3751
2000LG6,7.0*,2088-05-27 03:19,1/3300,-5.94,0,11.38,4641
2013CL22,48.0*,2064-02-03 00:45,1/1.03E6,-5.94,0,14.7,13
2002TZ59,110.0*,2033-09-27 09:48,1/3.53E7,-5.95,0,30.49,3788
2009FG,33.0*,2077-12-24 13:26,1/311526,-5.96,0,14.43,1435
2007XZ9,46.0*,2068-11-28 00:26,1/990099,-5.96,0,17.17,1902
2010VQ,12.0*,2053-10-07 18:55,1/34482,-5.97,0,12.08,840
2009WR52,9.0*,2060-11-22 13:08,1/15576,-5.98,0,12.43,1184
2007UO6,14.0*,2031-10-17 06:03,1/147928,-5.98,0,16.18,1946
2006CD,340.0*,2008-07-17 12:19,1/1.42E9,-5.98,0,15.26,2573
2012XM16,29.0*,2081-12-20 00:42,1/321543,-5.99,0,16.91,76
2006QV89,37.0*,2023-09-08 22:31,1/1.5E6,-6.02,0,12.33,2365
2012DJ54,8.0*,2068-02-24 13:54,1/12919,-6.03,0,12.43,356
2001SB170,140.0*,2089-03-17 06:30,1/2.3E7,-6.08,0,25.12,4148
2005NX55,160.0*,2011-01-06 13:34,1/8.33E8,-6.09,0,27.46,2779
2007KO4,95.0*,2015-11-24 02:46,1/5.29E7,-6.11,0,17.26,2097
2012BL14,10.0*,2031-01-19 17:00,1/195694,-6.13,0,23.03,395
2008EM68,13.0*,2019-03-11 21:22,1/371747,-6.13,0,18.94,1805
2008DB,31.0*,2071-02-10 07:58,1/357142,-6.13,0,13.18,1827
2007TL16,24.0*,2090-10-06 07:24,1/212314,-6.14,0,15.99,1960
2010XN69,24.0*,2047-01-03 07:00,1/303030,-6.15,0,12.7,672
2008LG2,38.0*,2077-06-17 18:10,1/487804,-6.15,0,12.1,1721
2011EU29,460.0*,2118-09-20 03:56,1/3.3E8,-6.16,0,21.4,672
2004VM24,30.0*,2078-11-13 02:47,1/480769,-6.17,0,17.03,3024
2012VS76,17.0*,2081-11-16 11:44,1/136986,-6.21,0,15.99,100
2012PB20,44.0*,2090-02-10 10:05,1/740740,-6.21,0,11.88,191
2011FQ6,12.0*,2075-03-23 23:33,1/59523,-6.23,0,15.34,672
2008CT1,13.0*,2088-02-05 10:51,1/68027,-6.23,0,17.23,1841
2010XB,5.0*,2036-11-30 06:03,1/34843,-6.24,0,22.49,672
2008ST7,64.0*,2074-09-10 00:27,1/3.28E6,-6.25,0,15.02,1603
2009HW67,25.0*,2079-04-24 14:12,1/819672,-6.28,0,25.28,1393
2013BR27,12.0*,2092-01-17 02:18,1/60240,-6.3,0,15.63,31
2009TU,14.0*,2086-10-09 23:59,1/127064,-6.32,0,18.83,1228
2008EV84,36.0*,2041-03-07 15:24,1/2.19E6,-6.33,0,16.11,1803
2006BC8,39.0*,2085-07-26 01:42,1/1.27E6,-6.33,0,17.27,2583
2011DS,17.0*,2080-02-24 17:59,1/129032,-6.37,0,12.95,672
2012TV,38.0*,2070-04-03 02:10,1/2.32E6,-6.37,0,20.06,136
2011AH5,27.0*,2074-01-14 23:38,1/588235,-6.39,0,14.67,672
2008XC1,78.0*,2085-12-17 14:54,1/7.69E6,-6.43,0,16.16,1539
2008KN11,94.0*,2046-06-20 19:11,1/2.99E7,-6.46,0,17.78,1725
2008LE,46.0*,2021-05-27 01:47,1/2.76E6,-6.47,0,14.76,1723
2012UU158,17.0*,2070-10-20 05:12,1/333333,-6.49,0,16.6,118
2006SC,38.0*,2043-09-14 02:04,1/3.39E6,-6.49,0,16.56,2347
2004VZ14,37.0*,2076-11-01 21:35,1/2.04E6,-6.49,0,18.89,3024
2010UY7,8.0*,2088-10-27 11:15,1/25575,-6.51,0,11.83,842
2009FZ4,36.0*,2018-09-20 13:45,1/1.18E7,-6.51,0,14.63,1432
2005TM173,65.0*,2052-11-17 11:46,1/7.69E6,-6.53,0,15.51,2647
2010JA43,280.0*,2023-01-07 13:25,1/7.25E8,-6.54,0,18.76,1015
2011QF48,37.0*,2067-08-26 23:57,1/4.26E6,-6.57,0,22.84,537
2007SN6,42.0*,2059-09-18 15:12,1/5.38E6,-6.57,0,21.46,1976
2011UL169,9.0*,2057-10-25 15:58,1/95238,-6.59,0,14.57,480
2010GM23,49.0*,2087-04-14 14:24,1/4.37E6,-6.61,0,17.5,1047
2004XB45,23.0*,2035-12-18 01:52,1/2.42E6,-6.64,0,20.37,2989
2011YW10,66.0*,2025-12-02 13:58,1/5.35E7,-6.65,0,17.03,420
2005VL1,19.0*,2047-10-31 04:55,1/549450,-6.66,0,12.91,2662
2010UJ,25.0*,2029-11-27 03:50,1/1.84E6,-6.68,0,11.48,855
2007EO88,22.0*,2073-03-16 14:30,1/704225,-6.68,0,15.64,2167
2007US51,15.0*,2082-10-31 13:55,1/362318,-6.69,0,18.98,1937
2005UL6,53.0*,2068-10-28 00:32,1/6.76E6,-6.69,0,16.36,2668
2008VM,4.0*,2031-11-04 17:33,1/31545,-6.7,0,15.17,1569
2009JL2,27.0*,2085-05-13 14:51,1/1.24E6,-6.71,0,17.02,1378
2012PK24,78.0*,2051-02-07 09:53,1/3.09E7,-6.72,0,16.12,196
1997UA11,38.0*,2073-10-24 02:07,1/2.92E6,-6.73,0,16.37,5583
2010TD,18.0*,2072-09-27 09:06,1/1.03E6,-6.78,0,21.97,870
2010NN,9.0*,2060-07-03 07:31,1/114416,-6.79,0,13.6,958
2007FY20,46.0*,2086-04-01 12:49,1/4.37E6,-6.8,0,14.8,2157
2010UH,16.0*,2079-07-12 03:56,1/342465,-6.82,0,13.07,855
2004FU162,8.0*,2008-03-31 14:56,1/1.7E6,-6.82,0,16.02,3248
2011CL50,13.0*,2059-02-16 16:11,1/236406,-6.85,0,11.67,672
2007BB,11.0*,2076-01-17 04:12,1/139470,-6.85,0,12.03,2225
2012BU1,12.0*,2086-01-13 02:37,1/204081,-6.86,0,14.32,397
2010TN55,17.0*,2078-10-11 13:47,1/1.41E6,-6.86,0,27.69,860
2006GU2,12.0*,2087-10-10 13:00,1/150602,-6.86,0,13.33,2507
2007EV,41.0*,2088-09-19 21:20,1/4.17E6,-6.88,0,15.4,2171
2012WS3,28.0*,2082-05-22 14:15,1/1.62E6,-6.88,0,14.22,93
